name,category,tea_type,temperature,sweetness,richness,milk_level,caffeine,moods,description,reason,custom_sweetness,custom_milk,custom_extra
ドリップ コーヒー,コーヒー,指定なし,ホット|アイス,0,2,0,あり,目を覚ましたい|さっぱりしたい,コーヒー本来の香りと味わいを楽しめるシンプルな一杯です。,甘さなしでコーヒーをしっかり楽しみたい日に向いているからです。,甘め,なし,はちみつ|シナモン
スターバックス ラテ,コーヒー,指定なし,ホット|アイス,1,3,4,あり,ひと息つきたい|目を覚ましたい,エスプレッソとミルクのバランスがよい定番の一杯です。,甘さが控えめでミルク感も楽しめるからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,はちみつ|シナモン
カフェ アメリカーノ,コーヒー,指定なし,ホット|アイス,0,1,0,あり,目を覚ましたい|さっぱりしたい,エスプレッソにお湯または水を加えたすっきりしたコーヒーです。,甘さなしで軽い口当たりのコーヒーを飲みたい日に合うからです。,甘め,なし,はちみつ
キャラメル マキアート,コーヒー,指定なし,ホット|アイス,4,4,4,あり,甘いもので満たされたい|ひと息つきたい,バニラ風味とキャラメルの甘さを楽しめるドリンクです。,甘く濃厚な気分と相性がよいからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,キャラメルソース|ホイップ|シナモン
カフェ モカ,コーヒー,指定なし,ホット|アイス,4,5,4,あり,甘いもので満たされたい|ひと息つきたい,コーヒーとチョコレートのコクを楽しめる一杯です。,デザート感とコーヒー感の両方を味わえるからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,ホイップ|チョコレートソース|キャラメルソース
コールドブリュー コーヒー,コーヒー,指定なし,アイス,0,2,0,あり,目を覚ましたい|さっぱりしたい,すっきりした口当たりのアイスコーヒーです。,甘さを加えずにさっぱり目を覚ましたい日に向いているからです。,甘め,なし,はちみつ
コーヒー フラペチーノ,フラペチーノ,指定なし,アイス,3,4,3,あり,甘いもので満たされたい|目を覚ましたい,コーヒー感とフローズンの飲みやすさを両立した一杯です。,甘さとコーヒー感をほどよく楽しめるからです。,甘さ控えめ|甘め,豆乳|アーモンドミルク|オーツミルク,ホイップ|チョコレートソース|キャラメルソース
キャラメル フラペチーノ,フラペチーノ,指定なし,アイス,5,5,4,あり,甘いもので満たされたい|ちょっと冒険したい,キャラメルの甘さをしっかり楽しめるフローズンドリンクです。,甘く濃厚なご褒美感があるからです。,甘さ控えめ|甘め,豆乳|アーモンドミルク|オーツミルク,ホイップ|キャラメルソース|チョコレートソース
抹茶 クリーム フラペチーノ,フラペチーノ,抹茶系,アイス,5,5,4,あり,甘いもので満たされたい|ちょっと冒険したい,抹茶の風味とクリーミーな甘さを楽しめる一杯です。,コーヒー以外で濃厚なものを飲みたい日に合うからです。,甘さ控えめ|甘め,豆乳|アーモンドミルク|オーツミルク,ホイップ|パウダー多め|チョコレートソース
マンゴー パッション ティー フラペチーノ,フラペチーノ,フルーツ系,アイス,4,2,1,なし,さっぱりしたい|ちょっと冒険したい,マンゴーとパッションフルーツの爽やかな味わいです。,冷たくフルーティーでさっぱりした気分に合うからです。,甘さ控えめ|甘め,なし,ホイップ
イングリッシュ ブレックファスト ティー ラテ,ティー,紅茶系,ホット,3,4,4,あり,ひと息つきたい,紅茶の香りとミルクのまろやかさを楽しめる一杯です。,落ち着きたい日に向く王道のミルクティーだからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,はちみつ|シナモン
アール グレイ ティー ラテ,ティー,紅茶系,ホット,3,4,4,あり,ひと息つきたい|ちょっと冒険したい,ベルガモットの華やかな香りが特徴のティーラテです。,いつもと少し違う香りを楽しみたい日に向いているからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,はちみつ|シナモン
抹茶 ティー ラテ,ティー,抹茶系,ホット|アイス,4,5,5,あり,甘いもので満たされたい|ひと息つきたい,抹茶の風味とミルクのコクを楽しめる一杯です。,甘さと濃厚さをしっかり味わいたい日に合うからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,パウダー多め|はちみつ
ほうじ茶 ティー ラテ,ティー,ほうじ茶系,ホット|アイス,3,4,5,あり,ひと息つきたい|ちょっと冒険したい,香ばしいほうじ茶とミルクの組み合わせを楽しめます。,甘すぎず香ばしい味わいで落ち着けるからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,はちみつ|シナモン|パウダー多め
ゆず シトラス & ティー,ティー,フルーツ系,ホット|アイス,3,2,1,あり,さっぱりしたい|ひと息つきたい,ゆずやシトラスの風味を楽しめる爽やかなティーです。,フルーティーで重すぎず気分転換に向いているからです。,甘さ控えめ|甘め,なし,はちみつ
チャイ ティー ラテ,ティー,紅茶系,ホット|アイス,4,5,5,あり,甘いもので満たされたい|ちょっと冒険したい,スパイスの香りが広がる個性的なティーラテです。,少し冒険したい気分と濃厚さの希望に合うからです。,甘さなし|甘さ控えめ|甘め,低脂肪タイプ|無脂肪タイプ|豆乳|アーモンドミルク|オーツミルク,シナモン|はちみつ
カモミール ティー,ティー,ハーブ系,ホット,0,1,0,なし,ひと息つきたい|さっぱりしたい,やさしい香りを楽しめるカフェインなしのハーブティーです。,甘さなしでゆっくり過ごしたい日に向いているからです。,甘め,なし,はちみつ
